Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BKH,"Black Hills Corp",59.81,0.07,+0.12%,59.8,60.13,59.67,565300,2025-08-29
BKKT,"Bakkt Hldgs Inc",8.77,0.08,+0.92%,8.66,9.09,8.34,1193900,2025-08-29
BKSY,"Blacksky Technology Inc",17.56,-0.52,-2.88%,18.19,18.28,16.96,1763200,2025-08-29
BKTI,"Bk Technologies Inc",70.78,0.97,+1.39%,70.17,71.59,69.19,44300,2025-08-29
BKU,"BankUnited Inc",39.19,0.059999999999995,+0.15%,39.23,39.55,38.92,618500,2025-08-29
BKV,"Bkv Corp",23.31,-0.1,-0.43%,23.36,23.54,23.2,103300,2025-08-29
BL,"Blackline Inc",54.37,0.13,+0.24%,54.38,54.9,54.15,533500,2025-08-29
BLBD,"Blue Bird Corp",58.39,-0.95,-1.60%,59.42,59.61,57.89,566000,2025-08-29
BLFS,"Biolife Solutions",25.05,0.13,+0.52%,25.05,25.49,24.82,354400,2025-08-29
BLFY,"Blue Foundry Bancorp",9.29,-0.14,-1.48%,9.43,9.46,9.03,76500,2025-08-29
BLKB,"Blackbaud Inc",66.71,0.55,+0.83%,66.35,67.46,66.19,208400,2025-08-29
BLMN,"Bloomin' Brands Inc",7.35,0.06,+0.82%,7.29,7.59,7.24,1764300,2025-08-29
BLND,"Blend Labs Inc Cl A",3.62,0.08,+2.26%,3.56,3.63,3.505,1456300,2025-08-29
BLX,"Banco Latinoamericano DE Comercio",46.13,-0.13,-0.28%,46.36,46.36,45.8356,64000,2025-08-29
BLZE,"Backblaze Inc Cl A",8.35,-0.05,-0.60%,8.45,8.47,8.17,528100,2025-08-29
BMBL,"Bumble Inc",6.17,-0.16,-2.53%,6.36,6.54,6.06,4504200,2025-08-29
BMI,"Badger Meter",182.92,-3.57,-1.91%,186.25,186.805,181.89,412900,2025-08-29
BMRC,"Bank of Marin Bancrp",24.54,0.06,+0.25%,24.54,24.72,24.36,40400,2025-08-29
BNED,"Barnes & Noble Education Inc C",8.63,0.040000000000001,+0.47%,8.53,8.671,8.42,395100,2025-08-29
BNL,"Broadstone Net Lease Inc Cl A",18.59,0.14,+0.76%,18.48,18.645,18.45,1473300,2025-08-29
BNTC,"Benitec Biopharma Ltd ADR",13.24,0.21,+1.61%,13.01,13.25,12.81,45100,2025-08-29
BOC,"Boston Omaha Corp Cl A",13.34,-0.1,-0.74%,13.48,13.48,13.285,165800,2025-08-29
BOH,"Bank of Hawaii Corp",68.12,0.30000000000001,+0.44%,67.82,68.68,67.805,357600,2025-08-29
BOOM,"Dynamic Materials",6.7,0.39,+6.18%,6.38,6.76,6.38,235500,2025-08-29
BOOT,"Boot Barn Holdings Inc",177.77,1.3,+0.74%,177,178.21,175.66,478500,2025-08-29
BORR,"Borr Drilling Ltd",2.91,-0.05,-1.69%,2.96,3.005,2.85,3830900,2025-08-29
BOW,"Bowhead Specialty Holdings Inc",31.06,-0.01,-0.03%,30.95,31.185,30.87,210200,2025-08-29
BOX,"Box Inc",32.63,-0.2,-0.61%,32.71,32.93,32.45,2571700,2025-08-29
BPRN,"Princeton Bancorp Inc",34.16,-0.14,-0.41%,35.3,35.3,34.01,3700,2025-08-29
BRBS,"Blue Ridge Bankshare",4.01,0.03,+0.75%,3.99,4.05,3.945,221200,2025-08-29
BRCC,"Brc Inc Cl A",1.55,0,0.00%,1.56,1.6,1.54,449800,2025-08-29
BRKL,"Brookline Bancorp",10.95,-0.07,-0.64%,11.06,11.17,10.87,5639200,2025-08-29
BRSL,"Brightstar Lottery Plc",16.64,0.12,+0.73%,16.48,16.69,16.42,1235400,2025-08-29
BRSP,"Brightspire Capital Inc",5.8,0.09,+1.58%,5.72,5.815,5.7,837700,2025-08-29
BRT,"BRT Realty Trust",16,0.28,+1.78%,15.65,16,15.65,26000,2025-08-29
BRY,"Berry Pete Corp",3.34,0.06,+1.83%,3.26,3.38,3.24,628100,2025-08-29
BRZE,"Braze Inc Cl A",27.7,0.3,+1.09%,27.54,27.89,27.31,1110000,2025-08-29
BSET,"Bassett Furniture",16.82,0.05,+0.27%,16.91,17.05,16.73,19300,2025-08-29
BSRR,"Sierra Bancorp",30.66,-0.2,-0.65%,30.96,31.05,30.64,14700,2025-08-29
BSVN,"Bank7 Corp",49.61,0.21,+0.43%,49.67,49.97,49.46,6400,2025-08-29
BTBT,"Bit Digital Inc",2.57,-0.04,-1.53%,2.6,2.64,2.48,21064801,2025-08-29
BTDR,"Bitdeer Technologies Group",14.29,0.61,+4.46%,13.6,14.35,13.22,5553300,2025-08-29
BTMD,"Biote Corp",3.44,-0.03,-0.86%,3.47,3.55,3.38,157000,2025-08-29
BTSG,"Brightspring Health Services Inc",23.69,-0.04,-0.17%,23.73,23.85,23.41,1335700,2025-08-29
BTU,"Peabody Energy Corp",17.4,0.56,+3.33%,16.81,17.43,16.76,3650400,2025-08-29
BUR,"Burford Capital Ltd",14,0.26,+1.89%,13.8,14.05,13.765,1294400,2025-08-29
BUSE,"First Busey Corp",24.7,0.01,+0.04%,24.69,24.98,24.58,505100,2025-08-29
BV,"Brightview Holdings Inc",14.4,-0.15,-1.03%,14.6,14.6,14.305,722200,2025-08-29
BVFL,"Bv Financial Inc MD",16.78,0.03,+0.18%,16.85,16.85,16.69,57400,2025-08-29
BVS,"Bioventus Inc Cl A",7.4,0.15,+2.07%,7.29,7.49,7.28,295500,2025-08-29
BWB,"Bridgewater Bancshares Inc",16.38,0,0.00%,16.46,16.49,16.31,19700,2025-08-29
BWFG,"Bankwell Financial",42.28,-0.19,-0.45%,42.72,42.72,42.04,17100,2025-08-29
BWIN,"The Baldwin Insurance Group Inc",31.67,0.06,+0.19%,31.85,32.52,31.63,676800,2025-08-29
BWMN,"Bowman Consulting Group Ltd",42.73,0.3,+0.71%,42.4,43.21,42.33,126500,2025-08-29
BXC,"Bluelinx Holdings Inc",82.61,-0.16,-0.19%,84.68,84.68,81.7248,80100,2025-08-29
BXMT,"Blackstone Mortgage Trust Inc Cl A",19.56,0.14,+0.72%,19.4,19.565,19.38,582500,2025-08-29
BY,"Byline Bancorp Inc",28.91,-0.14,-0.48%,29.06,29.22,28.8,123800,2025-08-29
BYND,"Beyond Meat Inc",2.5,-0.04,-1.57%,2.55,2.56,2.48,1373300,2025-08-29
BYRN,"Byrna Technologies Inc",20.4,0.7,+3.55%,19.9,20.82,19.7,402600,2025-08-29
BZH,"Beazer Homes USA",25.16,-0.04,-0.16%,25.16,25.25,24.785,268400,2025-08-29
CABO,"Cable One Inc",161.48,3.59,+2.27%,159.31,162.665,158.2,108900,2025-08-29
CAC,"Camden Natl Corp",40.89,0.08,+0.20%,41.06,41.22,40.11,85100,2025-08-29
CADE,"Cadence Bank",37.64,0.1,+0.27%,37.64,37.92,37.52,1332900,2025-08-29
CADL,"Candel Therapeutics Inc",5.79,-0.03,-0.52%,5.85,5.92,5.7,329000,2025-08-29
CAKE,"Cheesecake Fact",61.46,-0.58,-0.93%,62.03,62.28,61.34,812200,2025-08-29
CAL,"Caleres Inc",15,-0.37,-2.41%,15.57,15.57,14.96,848000,2025-08-29
CALM,"Cal-Maine Foods IN",115.64,0.24,+0.21%,115.87,116.61,115.28,544400,2025-08-29
CALX,"Calix Inc",59.45,-1.61,-2.64%,60.66,60.97,59.285,439400,2025-08-29
CAPR,"Capricor Therap",6.28,0.02,+0.32%,6.28,6.36,6.18,801800,2025-08-29
CARE,"Carter Bankshares Inc",19.46,0,0.00%,19.51,19.59,19.37,37600,2025-08-29
CARG,"Cargurus Inc Cl A",34.6,0.22,+0.64%,34.47,34.94,34.31,934100,2025-08-29
CARS,"Cars.com Inc",13.05,0.010000000000002,+0.08%,13.08,13.17,13.005,609100,2025-08-29
CASH,"Pathward Financial Inc",79.47,-0.65,-0.81%,79.58,80.59,78.14,200000,2025-08-29
CASS,"Cass Information Sys",43.12,0.15,+0.35%,43.05,43.38,42.83,34000,2025-08-29
CATX,"Perspective Therapeutics Inc",3.36,-0.02,-0.59%,3.46,3.47,3.2801,456100,2025-08-29
CATY,"Cathay Genl Bncp",49.91,0.1,+0.21%,49.87,50.35,49.47,317200,2025-08-29
CBAN,"Colony Bankcorp Inc",17.18,0.09,+0.53%,17.2,17.2,17.04,34100,2025-08-29
CBFV,"Cb Financial Svc",33.29,0.17,+0.51%,33.04,33.4,33,9300,2025-08-29
CBL,"Cbl & Associates Properties Inc",31.85,0.11,+0.35%,31.8,32.1,31.55,121000,2025-08-29
CBLL,"Ceribell Inc",11.83,-0.14,-1.17%,11.94,12.05,11.73,226000,2025-08-29
CBNA,"Chain Bridge Bancorp Inc Cl A",30.24,0.61,+2.06%,29.75,30.25,29.63,13200,2025-08-29
CBNK,"Capital Bancorp Inc",33.99,-0.51,-1.48%,34.61,34.61,33.78,49400,2025-08-29
CBRL,"Cracker Barrel",59.82,-0.24,-0.40%,60.2,61.37,59.36,1023300,2025-08-29
CBT,"Cabot Corp",81.56,0.24000000000001,+0.30%,81.67,82.35,80.81,349200,2025-08-29
CBU,"Community Financial System Inc",59.89,-0.65,-1.07%,60.69,61.31,59.8,192600,2025-08-29
CBZ,"Cbiz Inc",64.54,0.02000000000001,+0.03%,64.51,64.9,63.91,349300,2025-08-29
CC,"Chemours Company",15.4,0.33,+2.19%,15.08,15.43,15.07,2897800,2025-08-29
CCB,"Coastal Financial Corp",114.5,0.2,+0.17%,114.82,115.56,113.99,81600,2025-08-29
CCBG,"Capital City Bank Gr",43.86,0.37,+0.85%,43.74,44.04,43.52,24000,2025-08-29
CCNE,"Cnb Financial Corp",26.31,-0.21,-0.79%,26.43,26.53,26.06,97400,2025-08-29
CCOI,"Cogent Comm Hlds",38.23,0.72,+1.92%,37.45,38.42,37.03,927800,2025-08-29
CCRD,"Corecard Corporation",27.67,-0.23,-0.82%,27.73,28.1,27.645,64600,2025-08-29
CCRN,"Cross Ctry Hlthcr",13.38,0.01,+0.07%,13.39,13.58,13.23,201400,2025-08-29
CCS,"Century Communities Inc",65.88,0.22,+0.34%,65.79,66.16,65.095,293700,2025-08-29
CCSI,"Consensus Cloud Solutions",26.57,-0.13,-0.49%,26.9,27.15,26.51,104500,2025-08-29
CDE,"Coeur Mining Inc",13.15,0.59,+4.70%,12.61,13.18,12.54,14138000,2025-08-29
CDNA,"Caredx Inc",13.66,0.55,+4.20%,13.17,13.77,13.06,2032100,2025-08-29
CDP,"Copt Defense Properties",28.78,-0.08,-0.28%,28.9,28.97,28.63,1069900,2025-08-29
CDRE,"Cadre Holdings Inc",30.81,-0.09,-0.29%,31.03,31.26,30.575,202200,2025-08-29
CDTX,"Cidara Thera",65.39,0.16,+0.25%,65.36,65.72,63.81,188300,2025-08-29
CDXS,"Codexis Inc",2.73,0.01,+0.37%,2.71,2.74,2.65,514600,2025-08-29
CDZI,"Cadiz Inc",3.58,-0.02,-0.56%,3.62,3.67,3.54,297200,2025-08-29
CECO,"Ceco Environmental Corp",45.59,-1.1,-2.36%,46.54,46.54,42.78,709200,2025-08-29
CELC,"Celcuity Inc",51.23,-3.37,-6.17%,54.55,55,51.17,731200,2025-08-29
CENT,"Central Garden",36.43,0.48,+1.34%,35.95,36.49,35.94,64600,2025-08-29
CENTA,"Central Garden & Pet",33.03,0.43,+1.32%,32.79,33.19,32.59,525100,2025-08-29
CENX,"Century Aluminum C",22.33,-0.05,-0.22%,22.43,22.64,22.18,1001500,2025-08-29
CERS,"Cerus Corp",1.31,0,0.00%,1.32,1.32,1.265,599500,2025-08-29
CEVA,"Ceva Inc",22.22,-0.71,-3.10%,22.81,22.85,22.09,235400,2025-08-29
CFBK,"Central Fed Corp",24.6,0.05,+0.20%,24.68,25.08,24.4,26700,2025-08-29
CFFI,"C&F Financial Corp",71.98,0.82,+1.15%,70.6,71.98,70.6,12200,2025-08-29
CFFN,"Capitol Fed Finl Inc",6.48,0.03,+0.47%,6.48,6.53,6.46,668900,2025-08-29
CGEM,"Cullinan Therapeutics Inc",7.54,-0.07,-0.92%,7.65,7.76,7.31,285300,2025-08-29
CGON,"Cg Oncology Inc",26.82,0.1,+0.39%,26.69,27.1,26.22,400000,2025-08-29
CHCO,"City Holding Company",128.48,-1.26,-0.97%,130,130,128.08,72200,2025-08-29
CHCT,"Community Healthcare Trust Inc",15.41,0.2,+1.31%,15.22,15.43,15.18,151700,2025-08-29
CHEF,"The Chefs Warehouse",63.14,0.23,+0.37%,63.21,63.87,62.38,412900,2025-08-29
CHMG,"Chemung Financial Corp",53.92,-0.18,-0.33%,53.9,53.92,53.5,3800,2025-08-29
CHRS,"Coherus Oncology Inc",1.16,-0.02,-1.69%,1.18,1.18,1.14,505000,2025-08-29
CIA,"Citizens Inc",5.29,-0.1,-1.86%,5.3,5.3776,5.25,109200,2025-08-29
CIFR,"Cipher Mining Inc",7.64,0.62,+8.83%,7.25,8.71,6.95,70174891,2025-08-29
CIM,"Chimera Investment Corp",14.17,0.17,+1.21%,14.04,14.19,13.995,375000,2025-08-29
CIO,"City Office REIT Inc",6.93,0,0.00%,6.94,6.94,6.93,175700,2025-08-29
CIVB,"Civista Bncshrs",21.19,0.32,+1.53%,21,21.24,20.88,105100,2025-08-29
CIX,"Compx International Inc",24.86,-0.39,-1.54%,24.75,24.965,24.3,10400,2025-08-29
CLAR,"Clarus Corp",3.63,0,0.00%,3.63,3.65,3.6,56800,2025-08-29
CLB,"Core Laboratories Inc",11.51,0.19,+1.68%,11.29,11.545,11.11,376800,2025-08-29
CLBK,"Columbia Financial Inc",15.03,-0.05,-0.33%,15.12,15.2,15.01,69800,2025-08-29
CLDT,"Chatham Lodging Trust REIT",7.63,-0.01,-0.13%,7.67,7.69,7.58,654100,2025-08-29
CLDX,"Celldex Therapeutics",22.08,-0.3,-1.34%,22.52,23.02,21.71,1329300,2025-08-29
CLFD,"Clearfield Inc",32.62,-0.48,-1.45%,33.17,33.17,32.3,551000,2025-08-29
CLMB,"Climb Global Solutions Inc",123.56,-0.71,-0.57%,124.91,125.02,122.86,26600,2025-08-29
CLMT,"Calumet Inc",16.3,-0.03,-0.18%,16.31,16.52,16.04,518200,2025-08-29
CLNE,"Clean Energy Fuels",2.63,-0.01,-0.38%,2.64,2.67,2.6,1337100,2025-08-29
CLOV,"Clover Health Investments Corp",2.62,-0.01,-0.38%,2.64,2.65,2.57,2868500,2025-08-29
CLPR,"Clipper Realty Inc",4.48,0.06,+1.36%,4.45,4.52,4.352,62600,2025-08-29
CLPT,"Clearpoint Neuro Inc",10.49,0,0.00%,10.49,10.57,10.31,149100,2025-08-29
CLSK,"Cleanspark Inc",9.47,-0.08,-0.84%,9.55,9.64,9.26,17104600,2025-08-29
CLW,"Clearwater Paper Corp",21.57,0.19,+0.89%,21.53,21.92,21.39,223700,2025-08-29
CMC,"Commercial Metals Company",57.67,-0.24,-0.41%,58.08,58.31,57.445,929000,2025-08-29
CMCL,"Caledonia Mining Corp",25.58,0.7,+2.81%,24.55,25.63,24.55,165600,2025-08-29
CMCO,"Columbus Mckinnon",14.98,-0.24,-1.58%,15.2,15.3,14.87,809800,2025-08-29
CMDB,"Costamare Bulkers Holdings Limited",10.56,0.0099999999999998,+0.09%,10.5,10.61,10.42,80600,2025-08-29
CMP,"Compass Minerals Intl Inc",19.05,-0.21,-1.09%,19.3,19.53,18.89,320200,2025-08-29
CMPO,"Composecure Inc",19.12,-0.63,-3.19%,19.76,19.76,18.92,874700,2025-08-29
CMPR,"Cimpress N.V. Ord",63.12,0.65,+1.03%,62.69,64.08,62.39,151600,2025-08-29
CMPX,"Compass Therapeutics Inc",3.49,0,0.00%,3.49,3.5,3.29,702500,2025-08-29
CMRE,"Costamare Inc",11.44,-0.13,-1.12%,11.53,11.65,11.33,367000,2025-08-29
CMT,"Core Molding Technologies Inc",19.2,0.22,+1.16%,18.99,19.41,18.92,19900,2025-08-29
CMTG,"Claros Mortgage Trust Inc",3.7,0.12,+3.35%,3.59,3.725,3.55,804100,2025-08-29
CNDT,"Conduent Inc",2.78,-0.02,-0.71%,2.81,2.83,2.76,552700,2025-08-29
CNK,"Cinemark Holdings Inc",25.8,0.31,+1.22%,25.42,25.81,25.275,3706700,2025-08-29
CNMD,"C O N M E D Corp",54.36,0.63,+1.17%,53.86,55.15,53.585,228600,2025-08-29
CNNE,"Cannae Holdings Inc",18.7,0.029999999999998,+0.16%,18.73,18.77,18.53,849400,2025-08-29
CNO,"Cno Financial Group",39.47,0.049999999999997,+0.13%,39.53,39.82,39.38,733800,2025-08-29
CNOB,"Connectone Bancorp",25.6,0.06,+0.23%,25.68,25.84,25.54,229200,2025-08-29
CNR,"Core Natural Resources Inc",74.26,1.52,+2.09%,72.7,74.41,72.37,643800,2025-08-29
CNS,"Cohn & Steers Inc",73.86,-0.16,-0.22%,74.31,74.501,72.93,474000,2025-08-29
CNX,"CNX Resources Corp",29.2,-0.05,-0.17%,29.22,29.4,28.96,1221700,2025-08-29
CNXN,"PC Connection Inc",64.21,0.07,+0.11%,64.43,64.43,63.29,76300,2025-08-29
COCO,"The Vita Coco Company Inc",35.74,0.5,+1.42%,35.32,35.88,35.11,527300,2025-08-29
CODI,"Compass Diversified Holdings",7.5,0.31,+4.31%,7.26,7.59,7.13,976800,2025-08-29
COFS,"Choiceone Financial",30.86,0,0.00%,30.92,31.04,30.59,43300,2025-08-29
COGT,"Cogent Biosciences Inc",12.08,0,0.00%,12.08,12.21,11.88,1060700,2025-08-29
COHU,"Cohu Inc",19.9,-0.44,-2.16%,20.18,20.42,19.58,452400,2025-08-29
COLL,"Collegium Pharma",38.8,0.45,+1.17%,38.38,38.85,38,520600,2025-08-29
COMM,"Commscope Holding Company",16.04,0.08,+0.50%,16.02,16.35,15.75,4588600,2025-08-29
COMP,"Compass Inc Cl A",9.08,0.06,+0.67%,9.1,9.14,8.925,7561700,2025-08-29
CON,"Concentra Group Holdings Parent Inc",23.8,0.060000000000002,+0.25%,23.7,23.81,23.5,717000,2025-08-29
COOK,"Traeger Inc",1.26,0.01,+0.80%,1.26,1.3,1.2446,505300,2025-08-29
CORZ,"Core Scientific Inc",14.35,0,0.00%,14.2,14.39,13.88,6456800,2025-08-29
COUR,"Coursera Inc",11.5,-0.11,-0.95%,11.51,11.55,11.31,2226800,2025-08-29
CPF,"Central Pacific Financial Company",31.32,0.09,+0.29%,31.34,31.625,31.16,144900,2025-08-29
CPK,"Chesapeake Utilities Corp",123.58,0.14,+0.11%,123.74,124.72,123.325,73600,2025-08-29
CPRI,"Capri Holdings Ltd",20.59,-0.98,-4.54%,21.55,21.71,20.54,2965900,2025-08-29
CPRX,"Catalyst Pharm Inc",20.59,0.21,+1.03%,20.44,20.66,20.39,814300,2025-08-29
CPS,"Cooper Std Holdings Inc",36.82,0.69,+1.91%,36.46,37.02,35.7451,186200,2025-08-29
CPSS,"Consumer Portfol",7.99,-0.07,-0.87%,8.05,8.08,7.95,7400,2025-08-29
CRAI,"Cra International",193.76,-2.24,-1.14%,196.85,196.85,192.5,114000,2025-08-29
CRC,"California Resources Corp",49.68,0,0.00%,49.8,50.055,49.51,565700,2025-08-29
CRCT,"Cricut Inc Cl A",5.7,-0.05,-0.87%,5.75,5.81,5.58,483600,2025-08-29
CRD.A,"Crawford Company Cl A",10.84,-0.01,-0.09%,10.86,11.02,10.1915,105800,2025-08-29
CRDF,"Cardiff Oncology Inc",2.1,0.02,+0.96%,2.12,2.14,2.06,865300,2025-08-29
CRDO,"Credo Technology Group Holding Ltd",123.06,-8.77,-6.65%,130.87,131.2,121,4965900,2025-08-29
CRGY,"Crescent Energy Company Cl A",9.54,-0.07,-0.73%,9.51,9.65,9.4747,3721100,2025-08-29
CRI,"Carter's Inc",28.56,0.26,+0.92%,28.44,28.8,28.185,1307300,2025-08-29
CRK,"Comstock Resources",16.13,-0.22,-1.35%,16.23,16.29,16.01,1444100,2025-08-29
CRMD,"Cormedix Inc",14.83,0.48,+3.34%,14.29,14.96,14.27,2671400,2025-08-29
CRML,"Critical Metals Corp",6.2,-0.26,-4.10%,6.52,6.75,6.18,3611700,2025-08-29
CRMT,"America's Car-Mart",44.81,-1.67,-3.59%,46.4,46.4,44.65,90000,2025-08-29
CRNC,"Cerence Inc",10.53,-0.08,-0.75%,10.55,10.9,10.44,1170500,2025-08-29
CRNX,"Crinetics Pharmaceuticals Inc",30.99,0.34,+1.11%,30.67,31.22,30.25,1135600,2025-08-29
CRSP,"Crispr Therapeutics Ag",51.83,-1.22,-2.30%,53,53.07,51.36,1589300,2025-08-29
CRSR,"Corsair Gaming Inc",8.93,0.05,+0.56%,8.88,9,8.68,649600,2025-08-29
CRVL,"Corvel Corp",89.05,-0.25,-0.28%,89.58,89.58,88.83,138100,2025-08-29
CRVS,"Corvus Pharma Com",5.74,0.33,+6.10%,5.42,5.75,5.34,557500,2025-08-29
CSGS,"C S G Sys Intl",64.16,0.49,+0.77%,63.89,64.56,63.77,172800,2025-08-29
CSPI,"C S P Inc",12.06,-0.33,-2.66%,12.09,12.57,11.9,10300,2025-08-29
CSR,Centerspace,59.5,0.78,+1.33%,59.12,59.55,58.775,82100,2025-08-29
CSTL,"Castle Biosciences Inc",24.01,0.55,+2.34%,23.21,24.04,22.95,518800,2025-08-29
CSTM,"Constellium N.V.",14.49,-0.04,-0.28%,14.52,14.53,14.23,803100,2025-08-29
CSV,"Carriage Services",43.78,-0.1,-0.23%,44.15,44.73,43.58,185200,2025-08-29
CSW,"Csw Industrials Inc",273.54,0.41000000000003,+0.15%,273,274.92,270.01,158300,2025-08-29
CTBI,"Community TR Bancp",58.42,-0.2,-0.34%,58.6,59.04,58.42,56400,2025-08-29
CTEV,"Claritev Corporation",68.91,-2.38,-3.34%,71.79,71.79,68.03,87200,2025-08-29
CTGO,"Contango Ore Inc",22.03,0.88,+4.16%,21.06,22.19,21.06,89600,2025-08-29
CTKB,"Cytek Biosciences Inc",4.14,-0.03,-0.72%,4.19,4.2,4.09,735800,2025-08-29
CTLP,"Cantalope Inc",10.87,0.03,+0.28%,10.87,10.87,10.84,595200,2025-08-29
CTO,"Cto Realty Growth Inc",17.28,0.09,+0.52%,17.19,17.335,17.155,162300,2025-08-29
CTOS,"Custom Truck One Source",6.14,0.029999999999999,+0.49%,6.13,6.2,6.06,572300,2025-08-29
CTRE,"Caretrust REIT Inc",34.41,-0.05,-0.15%,34.53,34.64,34.2,2124800,2025-08-29
CTRI,"Centuri Holdings Inc",21.24,0.079999999999998,+0.38%,21.23,21.765,20.97,1609100,2025-08-29
CTRN,"Citi Trends Inc",35.63,-1.32,-3.57%,36.95,37.38,35.17,116800,2025-08-29
CTS,"Cts Corp",42.49,-0.44,-1.02%,43.06,43.06,42.33,141500,2025-08-29
CUBI,"Customers Bancorp",71.69,0.52,+0.73%,71.17,72.18,70.99,424500,2025-08-29
CURB,"Curbline Properties Corp",22.53,-0.04,-0.18%,22.61,22.75,22.3,320000,2025-08-29
CURI,"Curiositystream Inc",4.58,0.18,+4.09%,4.4,4.66,4.23,1332400,2025-08-29
CURV,"Torrid Holdings Inc",2.18,-0.01,-0.46%,2.23,2.23,2.155,184000,2025-08-29
CVBF,"Cvb Financial Corp",20.13,-0.08,-0.40%,20.15,20.37,20.07,703600,2025-08-29
CVCO,"Cavco Inds Inc",530.49,0.11,+0.02%,530.38,536.57,508.8,99800,2025-08-29
CVGW,"Calavo Growers Inc",27.35,0.07,+0.26%,27.41,27.61,27.28,107000,2025-08-29
CVI,"Cvr Energy Inc",30.49,0.83,+2.80%,29.72,30.59,29.5101,2523800,2025-08-29
CVLG,"Covenant Logistics Group Inc",24.13,-0.02,-0.08%,24.1,24.23,23.975,37100,2025-08-29
CVLT,"Commvault Systems",186.65,-1.1,-0.58%,187.93,188.74,184.77,317800,2025-08-29
CVRX,"Cvrx Inc",7.85,-0.03,-0.38%,7.94,8.04,7.61,116900,2025-08-29
CWAN,"Clearwater Analytics Holdings Inc Cl A",20.67,0.14,+0.68%,20.42,20.69,20.29,3330800,2025-08-29
CWBC,"Community West Bank",21.32,0.23,+1.09%,21.17,21.5,21.17,48900,2025-08-29
CWCO,"Cons Water Inc",33.27,-0.33,-0.98%,33.6,33.88,33.11,71000,2025-08-29
CWH,"Camping World Holdings Inc",17.51,0.060000000000002,+0.34%,17.63,17.77,17.28,1963000,2025-08-29
CWK,"Cushman & Wakefield Plc",15.77,-0.07,-0.44%,15.87,15.9,15.61,1433900,2025-08-29
CWST,"Casella Waste Sys",98.56,-0.26,-0.26%,98.82,99.05,98.11,565600,2025-08-29
CWT,"California Water Service Group Holding",46.93,0.060000000000002,+0.13%,47.02,47.245,46.72,250700,2025-08-29
CXDO,"Crexendo Inc",6.32,0,0.00%,6.32,6.4,6.2,78500,2025-08-29
CXM,"Sprinklr Inc Cl A",8.64,-0.11,-1.26%,8.78,8.81,8.43,4107400,2025-08-29
CXW,"Corecivic Inc",20.28,0.1,+0.50%,20.1,20.37,19.93,1119600,2025-08-29
CYH,"Community Health Systems",2.76,-0.04,-1.43%,2.8,2.82,2.71,877000,2025-08-29
CYRX,"Cryoport Inc",8.86,0.17,+1.96%,8.7,8.9,8.67,518500,2025-08-29
CYTK,Cytokinetics,35.33,-2.02,-5.41%,37.26,37.74,35.22,3222000,2025-08-29
CZFS,"Citizens Fincl Svcs",59.96,-0.53,-0.88%,60.2,60.2,59.76,5900,2025-08-29
CZNC,"Citizens Nrthn Corp",20.2,-0.12,-0.59%,20.44,20.44,19.95,26700,2025-08-29
CZWI,"Citizens Community",16.53,0.15,+0.92%,16.43,16.59,16.41,21500,2025-08-29
DAKT,"Daktronics Inc",17.35,-0.1,-0.57%,17.48,17.51,17.09,217700,2025-08-29
DAN,"Dana Inc",20.16,-0.19,-0.93%,20.35,20.42,20.04,1977200,2025-08-29
DAVE,"Dave Inc",213.22,-4.61,-2.12%,220.19,222.48,209.54,284900,2025-08-29
DAWN,"Day One Biopharmaceuticals Inc",7.51,-0.08,-1.05%,7.59,7.61,7.41,893800,2025-08-29
DBD,"Diebold Nixdorf Incorporated",61.11,-1.29,-2.07%,62.64,62.64,60.66,143800,2025-08-29
DBI,"Designer Brands Inc",3.71,-0.05,-1.33%,3.79,3.825,3.68,505100,2025-08-29
DBRG,"Digitalbridge Group Inc",11.41,0.14,+1.24%,11.3,11.48,11.22,1514600,2025-08-29
DC,"Dakota Gold Corp",4.17,0.03,+0.72%,4.11,4.21,4.11,671600,2025-08-29
DCGO,"Docgo Inc.",1.56,-0.07,-4.29%,1.64,1.65,1.55,425800,2025-08-29
DCO,"Ducommun Inc",91.22,-0.63,-0.69%,91.89,92.07,90.44,91700,2025-08-29
DCOM,"Dime Community Bancshares Inc",30.76,0.01,+0.03%,30.9,31.04,30.58,113000,2025-08-29
DCTH,"Delcath Systems Inc",11.02,0.14,+1.29%,10.91,11.03,10.65,332600,2025-08-29
DDD,"3D Systems Corp",2.3,-0.11,-4.56%,2.41,2.43,2.24,3511900,2025-08-29
DEA,"Easterly Government Properties",22.89,0.030000000000001,+0.13%,22.86,22.97,22.59,658100,2025-08-29
DEC,"Diversified Energy Company Plc",16.47,0.15,+0.92%,16.36,16.5,16.26,289100,2025-08-29
DEI,"Douglas Emmett",16.21,0.19,+1.19%,16.05,16.235,16.05,1130400,2025-08-29
DENN,"Dennys Corp",4.57,0.1,+2.24%,4.46,4.61,4.42,605600,2025-08-29
DERM,"Journey Medical Corp",7.21,-0.06,-0.83%,7.27,7.51,7.07,132000,2025-08-29
DFH,"Dream Finders Homes Inc Cl A",27.79,-0.12,-0.43%,27.65,28.21,27.48,232400,2025-08-29
DFIN,"Donnelly Financial Solutions Inc",56.77,0.07,+0.12%,56.45,57.05,56.28,170700,2025-08-29
DGICA,"Donegal Group Cl A",17.89,0.22,+1.25%,17.69,17.91,17.69,112400,2025-08-29
