Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AHR,"American Healthcare REIT Inc",42.79,0.07,+0.16%,42.82,42.865,42.51,988600,2025-08-29
AI,"C3.Ai Inc Cl A",16.91,-0.4,-2.31%,17.33,17.51,16.715,6692000,2025-08-29
AIN,"Albany International Corp",63.51,-0.41,-0.64%,64.09,64.09,62.49,186500,2025-08-29
AIOT,"Powerfleet Inc",4.67,0.01,+0.21%,4.67,4.75,4.63,860600,2025-08-29
AIP,"Arteris Inc",9.42,-0.37,-3.78%,9.77,9.8,9.3,342300,2025-08-29
AIR,"AAR Corp",75.66,-0.15,-0.20%,76,76.44,74.76,206200,2025-08-29
AIRJ,"Airjoule Technologies Corp",4.6,-0.16,-3.36%,4.75,4.83,4.53,59300,2025-08-29
AIRS,"Airsculpt Technologies Inc",6.45,-0.21,-3.15%,6.66,6.7,6.28,434300,2025-08-29
AISP,"Airship Ai Holdings Inc",4.47,-0.27,-5.70%,4.7,4.73,4.44,684000,2025-08-29
AIV,"Apartment Investment and Management",7.83,-0.01,-0.13%,7.83,7.865,7.8,903000,2025-08-29
AKBA,"Akebia Therapeutics",3.14,0.01,+0.32%,3.12,3.15,3.03,2511800,2025-08-29
AKR,"Acadia Realty Trust",20.01,-0.05,-0.25%,20.01,20.13,19.95,1558700,2025-08-29
AKRO,"Akero Therapeutics Inc",46.73,-0.21,-0.45%,47.01,47.34,46.02,497500,2025-08-29
ALCO,"Alico Inc",33.84,-0.28,-0.81%,34.19,34.35,33.84,13400,2025-08-29
ALDX,"Aldeyra Therapeu",5.84,-0.02,-0.34%,5.86,5.91,5.69,453300,2025-08-29
ALE,"Allete Inc",64.15,0,0.00%,64.22,64.36,64.1,663100,2025-08-29
ALEC,"Alector Inc",2.35,-0.04,-1.67%,2.39,2.44,2.31,465000,2025-08-29
ALEX,"Alexander and Baldwin Inc",19.34,0.010000000000002,+0.05%,19.29,19.4,19.21,316200,2025-08-29
ALG,"Alamo Group",211.46,-3.55,-1.65%,214.75,214.75,209.39,97700,2025-08-29
ALGT,"Allegiant Travel Com",62.66,0.36,+0.58%,62.03,62.98,61.69,194900,2025-08-29
ALHC,"Alignment Healthcare Inc",16.36,0.04,+0.25%,16.23,16.48,16.01,1760700,2025-08-29
ALIT,"Alight Inc Cl A",3.88,-0.01,-0.26%,3.95,4.007,3.85,5679100,2025-08-29
ALKS,"Alkermes Plc",28.97,0.04,+0.14%,28.98,29.44,28.9,1426700,2025-08-29
ALKT,"Alkami Technology Inc",25.6,-0.09,-0.35%,25.56,25.79,25.24,870100,2025-08-29
